  30 #5f7e97 X
  30 #011627 X
  23 #addb67 X
  22 #d6deeb X
  19 #c792ea X
  19 #82AAFF X
  18 #7fdbca X
  15 #ffffff X
   7 #F78C6C X
   7 #EF5350 X
   7 #7e57c2 X
   6 #80CBC4
   5 #FFEB95 X
   5 #262A39
   5 #202431
   4 #ff5874
   3 #ffcb8b
   3 #d9f5dd
   3 #d3423e
   3 #82b1ff
   3 #697098
   3 #122d42
   2 #ecc48d
   2 #ec5f67
   2 #d7dbe0
   2 #bec5d4
   2 #a2bffc
   2 #FFCA28
   2 #C792EA
   2 #B2CCD6
   2 #78ccf0
   2 #637777
   2 #32374C
   2 #31364a
   2 #2E3250
   2 #22da6e
   2 #010e1a
   1 #ffeb95
   1 #ff869a
   1 #ff6363
   1 #ff2c83
   1 #f78c6c
   1 #eeefff
   1 #e2b93d
   1 #d2dee7
   1 #d1aaff
   1 #cdebf7
   1 #c789d6
   1 #b39554
   1 #FAD430
   1 #DDDDDD
   1 #C5E4FD
   1 #9CCC65
   1 #975f94
   1 #8EACE3
   1 #8BD649
   1 #7986E7
   1 #6ae9f0
   1 #676E95
   1 #64B5F6
   1 #5ca7e4
   1 #57eaf1
   1 #575656
   1 #4b6479
   1 #44596b
   1 #4373c2
   1 #395a75
   1 #32374D
   1 #31e1eb
   1 #2E3248
   1 #2C3043
   1 #2B2F40
   1 #272B3B
   1 #25293A
   1 #21c7a8
   1 #1d3b53
   1 #1F2330
   1 #0e293f
   1 #0b2942
   1 #0b253a
   1 #020e14
   1 #010d18
   1 #010b14
